Protein	Pannzer
WP_003513145.1	Type IA DNA topoisomerase(0.502088796336)
WP_003519180.1	Gluconate 5-dehydrogenase(0.565181120977)
WP_003516145.1	Thiamine ECF transporter S component HmpT(0.408057807288)
WP_003515638.1	Nucleotidyltransferase(0.587414804569)
WP_003514386.1	Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains(0.552197093238)
ADU75147.1	Stage V sporulation protein ae(0.783697171672)
WP_003515609.1	Acetate kinase(0.557845453572)
WP_003515293.1	Pyruvate ferredoxin oxidoreductase beta subunit(0.707284011281)
WP_003517488.1	Acyl-CoA thioesterase YbgC(0.429082987307)
WP_003512634.1	HTH-type transcriptional regulator ImmR(0.276966316791)
WP_003513498.1	ATPase AAA [Ruminiclostridium thermocellum](0.288270857369)
WP_003515836.1	ATPase component NikO of energizing module of nickel ECF transporter(0.522583085894)
WP_003513888.1	Helix-turn-helix transcriptional regulator(0.365465887629)
WP_003517355.1	O-acetylhomoserine (Thiol)-lyase CysD(0.529817210023)
WP_003518624.1	Phosphoglycerate mutase Gpm(0.405295380452)
WP_003513133.1	tRNA-specific adenosine deaminase(0.431875829386)
WP_003515712.1	Transcription initiation factor IIE(0.817414581059)
WP_003517212.1	Ribosome-binding ATPase YchF(0.553688687666)
WP_003516691.1	DUF4830 domain-containing protein [Ruminiclostridium thermocellum](0.806997533556)
WP_003515732.1	Ribonuclease Y(0.630624404921)
WP_003517108.1	Capsular polysaccharide biosynthesis protein I(0.494843899838)
WP_003518870.1	Acetyltransferase (GNAT) family protein(0.326277437447)
WP_003517139.1	Elongation factor P(0.531855142217)
ADU73365.1	Type IV pilus assembly PilZ(0.415012096212)
WP_003514106.1	CRISPR-associated Csx10 family RAMP protein(0.786509098025)
WP_003516558.1	Flagellar biosynthesis protein FlgA(0.503711993409)
ADU74579.1	Putative phosphatase PhoE(0.36575197844)
WP_003516161.1	Probable mannose-6-phosphate isomerase gmuF(0.622894279883)
WP_003516096.1	Alanine--tRNA ligase(0.630939308751)
WP_004463776.1	copper amine oxidase [Ruminiclostridium thermocellum](0.605933158344)
WP_003515517.1	Transcriptional regulator MraZ(0.557632341653)
WP_003516491.1	Gtp-binding protein engb(0.611287870917)
WP_003512630.1	Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme(0.486962016175)
WP_003515832.1	Cobalamin biosynthesis protein CbiM(0.596623784701)
WP_003517262.1	protein translocase subunit SecF [Ruminiclostridium thermocellum](0.494510852428)
WP_003512930.1	Flagellar component of cell-distal portion of basal-body rod(0.574665848079)
WP_003512346.1	Capsular biosynthesis protein CpsI(0.593360262264)
WP_003512632.1	Spo0E family sporulation regulatory protein-aspartic acid phosphatase [Ruminiclostridium thermocellum](0.534029578078)
WP_003518620.1	DNA double-strand break repair Rad50 ATPase(0.44621384934)
WP_003515830.1	Germination-specific N-acetylmuramoyl-L-alanine amidase CwlD(0.441751788148)
WP_003512867.1	Histone family protein DNA-binding protein(0.654853350814)
WP_003520465.1	ABC-type multidrug transport system ATPase component(0.362562751339)
WP_003519434.1	Monoterpene epsilon-lactone hydrolase(0.415333283875)
WP_003517312.1	Regulatory sensor-transducer(0.67305838728)
WP_003518570.1	Fibronectin type III domain-containing protein (Fragment)(0.37268873136)
WP_003519228.1	WG repeat-containing protein (Fragment)(0.563587503286)
WP_041740120.1	Tad domain-containing protein(0.68515238315)
WP_003514556.1	Peptidase S8 and S53 subtilisin kexin sedolisin(0.316665162296)
WP_080547390.1	A nuclease of the HNH/ENDO VII superfamily with conserved WHH(0.622737403629)
ADU74532.1	Class I SAM-dependent methyltransferase(0.434012085313)
WP_003511671.1	ABC transporter integral membrane protein(0.433919590895)
WP_003513378.1	Alginate lyase(0.695926134099)
WP_037295074.1	Class I SAM-dependent methyltransferase(0.490982155791)
WP_003511669.1	APH domain-containing protein(0.594138618846)
WP_003518353.1	GHKL domain-containing protein(0.440368336966)
ADU74637.1	Carbohydrate kinase, thermoresistant glucokinase family(0.670842758448)
WP_003518842.1	WXG superfamily protein probably secreted by type VII secretion system(0.522532257294)
ADU75379.1	Response regulator with CheY-like receiver domain and winged-helix DNA-binding domain(0.327800832867)
WP_003513496.1	Glycopeptide antibiotics resistance protein(0.420821197)
WP_003518929.1	YD repeat-containing protein(0.749667922218)
WP_003513016.1	N-acetyltransferase domain-containing protein(0.238878243918)
WP_003516194.1	Tat binding protein 1(TBP-1)-interacting protein (TBPIP)(0.787567698192)
WP_037322679.1	Tad domain-containing protein(0.685055012998)
WP_037295987.1	Site-specific integrase(0.673866558878)
WP_003519006.1	Mutator family transposase(0.27357242374)
WP_003519514.1	RHS repeat-associated protein(0.700838617687)
WP_003519621.1	YD repeat-containing protein(0.700159030615)
WP_003519190.1	ATP-, maltotriose-and DNA-dependent transcriptional regulator MalT(0.469146335746)
WP_003519521.1	LysM domain-containing protein(0.677179700916)
WP_003512342.1	DNA-binding protein(0.242537148631)
WP_003517787.1	DUF2812 domain-containing protein [Hungateiclostridium thermocellum](0.787748801222)
WP_080514909.1	Formamidopyrimidine-DNA glycosylase(0.672155035653)
WP_003515425.1	Transglutaminase-like superfamily protein(0.690601095278)
WP_003519192.1	ATP-, maltotriose-and DNA-dependent transcriptional regulator MalT(0.491103486131)
WP_003514242.1	Extracellular solute-binding protein family 1(0.526174523127)
WP_003518399.1	Ig domain protein, group 2 domain protein(0.325470845947)
WP_014522652.1	Ig-like protein group 3(0.615537583547)
WP_004463341.1	Class I SAM-dependent methyltransferase(0.432872908368)
WP_003521255.1	Cyclic nucleotide-gated channel cone photoreceptor subunit alpha(0.511326394804)
WP_003519284.1	Transporter(0.678369632208)
WP_003516833.1	HNH endonuclease [Hungateiclostridium thermocellum](0.432575173162)
WP_003519243.1	Limonene hydroxylase(0.447120422566)
WP_003519623.1	YD repeat-containing protein(0.69984418697)
WP_041740090.1	Acetyltransferase(0.596950976448)
WP_003519196.1	Helix-turn-helix transcriptional regulator(0.280395116646)
WP_003520597.1	Mutator family transposase(0.487597609136)
WP_080514924.1	Transcriptional regulatory protein YpdB(0.445312464787)
WP_003517304.1	Mobile element protein(0.493033590733)
WP_003513019.1	DNA primase(0.49260051619)
WP_003515426.1	Transglutaminase-like enzyme, predicted cysteine protease(0.370270886509)
WP_003512352.1	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA(0.390878041355)
WP_003519116.1	Methyl-accepting chemotaxis protein 3(0.52993044188)
WP_003515182.1	Lipase (Class 3)(0.518729382011)
WP_003521167.1	FtsX domain-containing protein(0.685061895129)
WP_003516905.1	DUF4190 domain-containing protein (Fragment)(0.565355669528)
WP_003513859.1	Rhodanese domain-containing protein(0.470529110466)
WP_003516093.1	Type I-B CRISPR-associated protein Cas8b/Csh1(0.70770167432)
ADU73591.1	Cellulase(0.529062675671)
WP_003518419.1	ESAT-6/Esx family secreted protein EsxA/YukE(0.608865066644)
WP_003519717.1	WXG superfamily protein probably secreted by type VII secretion system(0.54823249587)
WP_003515965.1	Predicted acetyltransferase(0.490953666199)
WP_041740028.1	HTH IS21-type domain-containing protein(0.574151289081)
WP_003516602.1	Carbohydrate kinase, thermoresistant glucokinase family(0.606009555779)
WP_003515967.1	APH domain-containing protein(0.667838099744)
WP_003516608.1	YcxB family protein [Hungateiclostridium thermocellum](0.730553266989)
WP_041740123.1	Tad domain-containing protein(0.697418688146)
WP_049756132.1	Petrobactin biosynthesis protein AsbA(0.789806300399)
WP_003514254.1	YbhB/YbcL family Raf kinase inhibitor-like protein(0.574934356369)
WP_014522615.1	YD repeat-containing protein(0.688822970908)
WP_003516075.1	CRISPR/Cas system CSM-associated protein Csm3, group 7 of RAMP superfamily(0.543346382045)
WP_003516570.1	Putative membrane protein YphA (DoxX/SURF4 family)(0.526818476139)
ADU74127.1	HintN domain-containing protein(0.669100871004)
WP_003518577.1	Uracil permease(0.538008232607)
