#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
479;WP_003512590.1 hypothetical protein [Hungateiclostridium thermocellum];117;Uncharacterized protein;100.00% [117/117];GO:0016021 - integral component of membrane;;Uniprot (A3DCA5)|Interpro (A3DCA5);KEGG (cth:Cthe_0346)|KEGG GM (cth:Cthe_0346);;NCBI (489608149)|EMBL (CP000568);
480;WP_003516308.1 lactate utilization protein [Hungateiclostridium thermocellum];217;LUD_dom domain-containing protein;100.00% [217/217];;;Uniprot (A3DDG8)|Interpro (A3DDG8);KEGG (cth:Cthe_0762)|KEGG GM (cth:Cthe_0762);Interpro (IPR003741)|Interpro (IPR009501)|Pfam (PF02589);NCBI (489611867)|EMBL (CP000568);
481;ADU73895.1 hypothetical protein Clo1313_0826 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
482;ADU75638.1 hypothetical protein Clo1313_2639 [Hungateiclostridium thermocellum DSM 1313];46;Uncharacterized protein;100.00% [46/46];;;Uniprot (G2JCB3)|Interpro (G2JCB3);KEGG (cth:Cthe_3376)|KEGG GM (cth:Cthe_3376);;NCBI (345548338)|EMBL (CP000568);
483;WP_003514185.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
484;WP_003513251.1 hypothetical protein [Hungateiclostridium thermocellum];242;PspA/IM30 family protein;100.00% [242/242];;;Uniprot (A3DI31)|Interpro (A3DI31);KEGG (cth:Cthe_2408)|KEGG GM (cth:Cthe_2408);Interpro (IPR007157)|Pfam (PF04012);NCBI (489608810)|EMBL (CP000568);
485;ADU75701.1 hypothetical protein Clo1313_2717 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
486;WP_003514187.1 hypothetical protein [Hungateiclostridium thermocellum];75;Uncharacterized protein;39.06% [75/192];;;Uniprot (A3DH68)|Interpro (A3DH68);KEGG (cth:Cthe_2090)|KEGG GM (cth:Cthe_2090);;NCBI (489609746)|EMBL (CP000568);
487;WP_049756130.1 hypothetical protein [Ruminiclostridium thermocellum];35;Peptidase_M56 domain-containing protein;53.03% [35/66];GO:0016021 - integral component of membrane;;Uniprot (W4V1T0)|Interpro (W4V1T0);;Interpro (IPR008756)|Pfam (PF05569);EMBL (BAVR01000004);
488;WP_003511671.1 hypothetical protein [Hungateiclostridium thermocellum];78;Uncharacterized protein;100.00% [78/78];GO:0016021 - integral component of membrane;;Uniprot (A3DK54)|Interpro (A3DK54);KEGG (cth:Cthe_3138)|KEGG GM (cth:Cthe_3138);;NCBI (125715841)|EMBL (CP000568);
489;WP_003517304.1 hypothetical protein [Hungateiclostridium thermocellum];53;Mobile element protein;85.48% [53/62];GO:0003677 - DNA binding;;Uniprot (W4VDY4)|Interpro (W4VDY4);;Interpro (IPR009057);EMBL (BAVR01000115);
490;WP_003519167.1 chemotaxis protein CheX [Hungateiclostridium thermocellum];148;CheC domain protein;100.00% [148/148];;;Uniprot (A3DEM9)|Interpro (A3DEM9);KEGG (cth:Cthe_1176)|KEGG GM (cth:Cthe_1176);Interpro (IPR028976)|Interpro (IPR038756)|Interpro (IPR028051)|Pfam (PF13690);NCBI (489614726)|EMBL (CP000568);
491;WP_003515875.1 hypothetical protein [Hungateiclostridium thermocellum];131;Uncharacterized protein;100.00% [131/131];;;Uniprot (A3DGC6)|Interpro (A3DGC6);KEGG (cth:Cthe_1784)|KEGG GM (cth:Cthe_1784);;NCBI (489611434)|EMBL (CP000568);
492;WP_003521255.1 hypothetical protein [Hungateiclostridium thermocellum];429;Uncharacterized protein;100.00% [429/429];;;Uniprot (A3DEF1)|Interpro (A3DEF1);KEGG (cth:Cthe_1098)|KEGG GM (cth:Cthe_1098);;NCBI (489616815)|EMBL (CP000568);
493;WP_003515182.1 hypothetical protein [Hungateiclostridium thermocellum];92;Uncharacterized protein;100.00% [92/92];;;Uniprot (A3DHD0)|Interpro (A3DHD0);KEGG (cth:Cthe_2156)|KEGG GM (cth:Cthe_2156);;NCBI (489610741)|EMBL (CP000568);
494;WP_003511856.1 DUF5104 domain-containing protein [Hungateiclostridium thermocellum];170;Uncharacterized protein;100.00% [170/170];;;Uniprot (A3DKE1)|Interpro (A3DKE1);KEGG (cth:Cthe_3225)|KEGG GM (cth:Cthe_3225);Interpro (IPR031344)|Pfam (PF17117);NCBI (489607415)|EMBL (CP000568);
495;WP_003512272.1 hypothetical protein [Hungateiclostridium thermocellum];127;Uncharacterized protein;100.00% [127/127];;;Uniprot (A3DBV6)|Interpro (A3DBV6);KEGG (cth:Cthe_0194)|KEGG GM (cth:Cthe_0194);;NCBI (489607831)|EMBL (CP000568);
496;WP_003514024.1 DNA primase [Hungateiclostridium thermocellum];238;Phage/plasmid primase P4 family;88.81% [238/268];;;Uniprot (A3DJB7)|Interpro (A3DJB7);KEGG (cth:Cthe_2847)|KEGG GM (cth:Cthe_2847);Interpro (IPR004968)|Interpro (IPR015330)|Interpro (IPR006500)|Interpro (IPR014015)|Interpro (IPR027417)|Interpro (IPR014818)|Interpro (IPR014820)|Pfam (PF08706)|Pfam (PF03288)|Pfam (PF08708)|Pfam (PF09250);NCBI (125715554)|EMBL (CP000568);
497;ADU75198.1 hypothetical protein Clo1313_2157 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
498;WP_003515936.1 polymer-forming cytoskeletal protein [Hungateiclostridium thermocellum];145;Uncharacterized protein;100.00% [145/145];;;Uniprot (A3DGA0)|Interpro (A3DGA0);KEGG (cth:Cthe_1758)|KEGG GM (cth:Cthe_1758);Interpro (IPR007607)|Pfam (PF04519);NCBI (489611495)|EMBL (CP000568);
499;WP_003518468.1 hypothetical protein [Hungateiclostridium thermocellum];373;Uncharacterized protein;100.00% [373/373];;;Uniprot (A3DHP6)|Interpro (A3DHP6);KEGG (cth:Cthe_2273)|KEGG GM (cth:Cthe_2273);;NCBI (489614027)|EMBL (CP000568);
500;WP_037294588.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
501;WP_003519231.1 zinc ribbon domain-containing protein [Hungateiclostridium thermocellum];129;zinc_ribbon_15 domain-containing protein;100.00% [129/129];;;Uniprot (A3DFF4)|Interpro (A3DFF4);KEGG (cth:Cthe_1454)|KEGG GM (cth:Cthe_1454);Interpro (IPR031493)|Pfam (PF17032);NCBI (125714191)|EMBL (CP000568);
502;WP_003515425.1 hypothetical protein [Hungateiclostridium thermocellum];217;Uncharacterized protein;100.00% [217/217];;;Uniprot (A3DIT9)|Interpro (A3DIT9);KEGG (cth:Cthe_2669)|KEGG GM (cth:Cthe_2669);;NCBI (489610984)|EMBL (CP000568);
503;WP_003521164.1 hypothetical protein [Hungateiclostridium thermocellum];94;Uncharacterized protein;100.00% [94/94];GO:0016021 - integral component of membrane;;Uniprot (G2JC68)|Interpro (G2JC68);KEGG (cth:Cthe_3312)|KEGG GM (cth:Cthe_3312);;NCBI (345548281)|EMBL (CP000568);
504;WP_003511783.1 sporulation protein [Hungateiclostridium thermocellum];216;Sporulation lipoprotein YhcN/YlaJ-like protein;100.00% [216/216];;;Uniprot (A3DKB0)|Interpro (A3DKB0);KEGG (cth:Cthe_3194)|KEGG GM (cth:Cthe_3194);Interpro (IPR019076)|Pfam (PF09580);NCBI (489607342)|EMBL (CP000568);
505;WP_003512794.1 DUF4330 domain-containing protein [Hungateiclostridium thermocellum];165;Uncharacterized protein;100.00% [165/165];GO:0016021 - integral component of membrane;;Uniprot (A3DIW3)|Interpro (A3DIW3);KEGG (cth:Cthe_2693)|KEGG GM (cth:Cthe_2693);Interpro (IPR025480)|Pfam (PF14221);NCBI (489608353)|EMBL (CP000568);
506;WP_003511791.1 YtxH domain-containing protein [Hungateiclostridium thermocellum];61;Uncharacterized protein;100.00% [61/61];GO:0016021 - integral component of membrane;;Uniprot (A3DKB4)|Interpro (A3DKB4);KEGG (cth:Cthe_3198)|KEGG GM (cth:Cthe_3198);;NCBI (489607350)|EMBL (CP000568);
507;WP_003517339.1 YjjI family glycine radical enzyme [Hungateiclostridium thermocellum];508;Uncharacterized protein;99.80% [508/509];;;Uniprot (A3DFS4)|Interpro (A3DFS4);KEGG (cth:Cthe_1577)|KEGG GM (cth:Cthe_1577);Interpro (IPR016905)|Pfam (PF11230);NCBI (125714311)|EMBL (CP000568);
508;WP_095206557.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
509;WP_003512928.1 flagellar protein FlgJ [Hungateiclostridium thermocellum];116;Flagellar protein FlgJ-like protein;100.00% [116/116];;Flagellum;Uniprot (A3DIP3)|Interpro (A3DIP3);KEGG (cth:Cthe_2622)|KEGG GM (cth:Cthe_2622);Interpro (IPR019301)|Pfam (PF10135);NCBI (489608487)|EMBL (CP000568);
510;WP_003512233.1 hypothetical protein [Hungateiclostridium thermocellum];142;Uncharacterized protein;94.67% [142/150];GO:0016021 - integral component of membrane;;Uniprot (A3DBT2)|Interpro (A3DBT2);KEGG (cth:Cthe_0170)|KEGG GM (cth:Cthe_0170);;NCBI (125712919)|EMBL (CP000568);
511;WP_003515912.1 hypothetical protein [Hungateiclostridium thermocellum];333;Uncharacterized protein;100.00% [333/333];;;Uniprot (A3DGA9)|Interpro (A3DGA9);KEGG (cth:Cthe_1767)|KEGG GM (cth:Cthe_1767);Interpro (IPR025964)|Pfam (PF14057);NCBI (489611471)|EMBL (CP000568);
512;WP_003520874.1 hydrolase [Hungateiclostridium thermocellum];49;Hydrolase;57.65% [49/85];GO:0016787 - hydrolase activity;;Uniprot (A0A358QXR8)|Interpro (A0A358QXR8);;Interpro (IPR025983)|Pfam (PF14206);EMBL (DOPK01000018);
513;WP_014522611.1 DUF1910 domain-containing protein [Hungateiclostridium thermocellum];396;Uncharacterized protein;93.84% [396/422];;;Uniprot (A3DEP9)|Interpro (A3DEP9);KEGG (cth:Cthe_1196)|KEGG GM (cth:Cthe_1196);Interpro (IPR015024)|Interpro (IPR015025)|Interpro (IPR028983)|Pfam (PF08928)|Pfam (PF08929);NCBI (489617411)|EMBL (CP000568);
514;WP_003512548.1 hypothetical protein [Hungateiclostridium thermocellum];80;Uncharacterized protein;100.00% [80/80];GO:0016021 - integral component of membrane;;Uniprot (A3DC82)|Interpro (A3DC82);KEGG (cth:Cthe_0323)|KEGG GM (cth:Cthe_0323);;NCBI (489608107)|EMBL (CP000568);
515;WP_003516198.1 YpmA family protein [Hungateiclostridium thermocellum];55;Uncharacterized protein;100.00% [55/55];;;Uniprot (A3DDB1)|Interpro (A3DDB1);KEGG (cth:Cthe_0705)|KEGG GM (cth:Cthe_0705);Interpro (IPR012190)|Pfam (PF14084);NCBI (125713448)|EMBL (CP000568);
516;WP_003513763.1 hypothetical protein [Hungateiclostridium thermocellum];169;Uncharacterized protein;100.00% [169/169];;;Uniprot (A3DGH9)|Interpro (A3DGH9);KEGG (cth:Cthe_1837)|KEGG GM (cth:Cthe_1837);;NCBI (489609322)|EMBL (CP000568);
517;WP_003517756.1 gamma-glutamylcyclotransferase [Hungateiclostridium thermocellum];150;Gamma-glutamylcyclotransferase family protein;98.68% [150/152];GO:0061929 - gamma-glutamylaminecyclotransferase activity;;Uniprot (A3DFK6)|Interpro (A3DFK6);KEGG (cth:Cthe_1507)|KEGG GM (cth:Cthe_1507);Interpro (IPR009288)|Interpro (IPR039126)|Interpro (IPR013024)|Interpro (IPR036568)|Pfam (PF06094);NCBI (500163438)|EMBL (CP000568);
518;WP_003511669.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];110;Uncharacterized protein;100.00% [110/110];;;Uniprot (A0A2S8R6W4)|Interpro (A0A2S8R6W4);;;NCBI (489607228)|EMBL (NEMB01000003);
519;WP_003516192.1 hypothetical protein [Hungateiclostridium thermocellum];175;Uncharacterized protein;100.00% [175/175];;;Uniprot (A3DDA8)|Interpro (A3DDA8);KEGG (cth:Cthe_0702)|KEGG GM (cth:Cthe_0702);;NCBI (489611751)|EMBL (CP000568);
520;WP_003515906.1 hypothetical protein [Hungateiclostridium thermocellum];115;Uncharacterized protein;99.14% [115/116];GO:0016021 - integral component of membrane;;Uniprot (A3DGB2)|Interpro (A3DGB2);KEGG (cth:Cthe_1770)|KEGG GM (cth:Cthe_1770);;NCBI (125714499)|EMBL (CP000568);
521;WP_037295987.1 hypothetical protein [Ruminiclostridium thermocellum];69;Uncharacterized protein;95.83% [69/72];GO:0016021 - integral component of membrane;;Uniprot (J2KWH9)|Interpro (J2KWH9);;;NCBI (397718906)|EMBL (AJVL01000080);
522;WP_003512101.1 YjbQ family protein [Hungateiclostridium thermocellum];130;Uncharacterized protein;100.00% [130/130];;;Uniprot (A3DBL5)|Interpro (A3DBL5);KEGG (cth:Cthe_0103)|KEGG GM (cth:Cthe_0103);Interpro (IPR001602)|Interpro (IPR035917)|Pfam (PF01894);NCBI (489607660)|EMBL (CP000568);
523;WP_003519190.1 hypothetical protein [Hungateiclostridium thermocellum];114;Uncharacterized protein;100.00% [114/114];;;Uniprot (A3DFE0)|Interpro (A3DFE0);KEGG (cth:Cthe_1439)|KEGG GM (cth:Cthe_1439);Interpro (IPR011990);NCBI (489614749)|EMBL (CP000568);
524;WP_003519192.1 hypothetical protein [Hungateiclostridium thermocellum];44;ATP-dependent transcriptional regulator protein-like protein;59.46% [44/74];;;Uniprot (A0A098AUL5)|Interpro (A0A098AUL5);;Interpro (IPR027417)|Interpro (IPR013026)|Interpro (IPR011990)|Interpro (IPR019734)|Interpro (IPR036388);NCBI (698315467)|EMBL (LK996017);
525;WP_003516155.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];244;Uncharacterized protein;100.00% [244/244];GO:0016021 - integral component of membrane;;Uniprot (A0A2S8R6W6)|Interpro (A0A2S8R6W6);;;NCBI (489611714)|EMBL (NEMB01000003);
526;WP_003513945.1 hypothetical protein [Hungateiclostridium thermocellum];153;Uncharacterized protein;100.00% [153/153];;;Uniprot (A3DGU0)|Interpro (A3DGU0);KEGG (cth:Cthe_1951)|KEGG GM (cth:Cthe_1951);;NCBI (489609504)|EMBL (CP000568);
527;WP_003517395.1 DUF362 domain-containing protein [Hungateiclostridium thermocellum];377;4Fe-4S ferredoxin iron-sulfur binding domain protein;100.00% [377/377];;;Uniprot (A3DFP4)|Interpro (A3DFP4);KEGG (cth:Cthe_1546)|KEGG GM (cth:Cthe_1546);Interpro (IPR017896)|Interpro (IPR007160)|Pfam (PF04015)|Pfam (PF13187);NCBI (489612954)|EMBL (CP000568);
528;WP_003515908.1 hypothetical protein [Hungateiclostridium thermocellum];130;Uncharacterized protein;100.00% [130/130];;;Uniprot (A3DGB1)|Interpro (A3DGB1);KEGG (cth:Cthe_1769)|KEGG GM (cth:Cthe_1769);;NCBI (489611467)|EMBL (CP000568);
529;WP_003511615.1 uracil-DNA glycosylase [Hungateiclostridium thermocellum];189;Phage SPO1 DNA polymerase-related protein;100.00% [189/189];;Uracil-DNA glycosylase;Uniprot (A3DK24)|Interpro (A3DK24);KEGG (cth:Cthe_3108)|KEGG GM (cth:Cthe_3108)|KEGG EC (3.2.2.27);Interpro (IPR005273)|Interpro (IPR005122)|Interpro (IPR036895)|Pfam (PF03167);NCBI (489607174)|EMBL (CP000568);
530;WP_003512682.1 sugar ABC transporter substrate-binding protein [Hungateiclostridium thermocellum];321;Periplasmic binding protein/LacI transcriptional regulator;100.00% [321/321];;;Uniprot (A3DCF2)|Interpro (A3DCF2);KEGG (cth:Cthe_0393)|KEGG GM (cth:Cthe_0393);Interpro (IPR028082)|Interpro (IPR025997)|Pfam (PF13407);NCBI (489608241)|EMBL (CP000568);
531;WP_003518688.1 hypothetical protein [Hungateiclostridium thermocellum];343;Uncharacterized protein;99.71% [343/344];;;Uniprot (A3DCH0)|Interpro (A3DCH0);KEGG (cth:Cthe_0411)|KEGG GM (cth:Cthe_0411);;NCBI (489608275)|EMBL (CP000568);
532;WP_003513925.1 zinc ribbon domain-containing protein [Hungateiclostridium thermocellum];71;Regulatory protein FmdB family;100.00% [71/71];;;Uniprot (A3DGT0)|Interpro (A3DGT0);KEGG (cth:Cthe_1941)|KEGG GM (cth:Cthe_1941);Interpro (IPR013429)|Pfam (PF09723);NCBI (125714667)|EMBL (CP000568);
533;ADU75247.1 Carboxylesterase [Hungateiclostridium thermocellum DSM 1313];249;Carboxylesterase;99.60% [249/250];GO:0080030 - methyl indole-3-acetate esterase activity;Biotin biosynthesis Experimental|YhgH|Biotin biosynthesis;Uniprot (A3DBD6)|Interpro (A3DBD6);KEGG (cth:Cthe_0023)|KEGG GM (cth:Cthe_0023)|KEGG EC (3.1.1.85);Interpro (IPR029058)|Interpro (IPR000073)|Interpro (IPR022742)|Pfam (PF12146);NCBI (489607490)|EMBL (CP000568);
534;WP_003515088.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];175;Uncharacterized protein;100.00% [175/175];;;Uniprot (A3DJC6)|Interpro (A3DJC6);KEGG (cth:Cthe_2856)|KEGG GM (cth:Cthe_2856);;NCBI (489610647)|EMBL (CP000568);
535;WP_003516075.1 hypothetical protein [Hungateiclostridium thermocellum];213;CRISPR/Cas system CSM-associated protein Csm3 group 7 of RAMP superfamily;46.30% [213/460];;;Uniprot (A0A285BCB9)|Interpro (A0A285BCB9);;Interpro (IPR005537)|Pfam (PF03787);EMBL (LT906662);
536;WP_003515822.1 hypothetical protein [Hungateiclostridium thermocellum];64;Uncharacterized protein;92.75% [64/69];;;Uniprot (A0A4Q0I456)|Interpro (A0A4Q0I456);;;EMBL (RLII01000042);
537;WP_003517967.1 flagellar FlbD family protein [Hungateiclostridium thermocellum];57;Flagellar protein FlbD;81.43% [57/70];;;Uniprot (W4V842)|Interpro (W4V842);;Interpro (IPR009384)|Pfam (PF06289);NCBI (740457509)|EMBL (BAVR01000028);
538;WP_003514148.1 hypothetical protein [Hungateiclostridium thermocellum];249;Uncharacterized protein;99.60% [249/250];;;Uniprot (A3DH50)|Interpro (A3DH50);KEGG (cth:Cthe_2072)|KEGG GM (cth:Cthe_2072);;NCBI (521293434)|EMBL (CP000568);
539;WP_003517284.1 hypothetical protein [Hungateiclostridium thermocellum];294;Uncharacterized protein;100.00% [294/294];;;Uniprot (A3DDX1)|Interpro (A3DDX1);KEGG (cth:Cthe_0916)|KEGG GM (cth:Cthe_0916);;NCBI (489612843)|EMBL (CP000568);
540;WP_003516021.1 phage portal protein [Hungateiclostridium thermocellum];438;HK97 family phage portal protein;99.55% [438/440];;;Uniprot (A0A4R4AMW1)|Interpro (A0A4R4AMW1);;Interpro (IPR006944)|Interpro (IPR006427)|Pfam (PF04860);EMBL (SMDB01000004);
541;WP_003513859.1 hypothetical protein [Hungateiclostridium thermocellum];277;Uncharacterized protein;67.07% [277/413];;;Uniprot (A3DGQ0)|Interpro (A3DGQ0);KEGG (cth:Cthe_1910)|KEGG GM (cth:Cthe_1910);;NCBI (125714637)|EMBL (CP000568);
542;WP_003513454.1 hypothetical protein [Hungateiclostridium thermocellum];558;Uncharacterized protein;100.00% [558/558];;;Uniprot (A3DHS5)|Interpro (A3DHS5);KEGG (cth:Cthe_2302)|KEGG GM (cth:Cthe_2302);;NCBI (489609013)|EMBL (CP000568);
543;WP_041740033.1 ISL3 family transposase [Hungateiclostridium thermocellum];137;Transposase;93.84% [137/146];;;Uniprot (A0A1E3C0G0)|Interpro (A0A1E3C0G0);;Interpro (IPR029261)|Pfam (PF14690);NCBI (1061399880)|EMBL (LXSB01000001);
544;WP_037294450.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
545;WP_003517532.1 hypothetical protein [Hungateiclostridium thermocellum];62;Uncharacterized protein;100.00% [62/62];;;Uniprot (A3DEZ2)|Interpro (A3DEZ2);KEGG (cth:Cthe_1289)|KEGG GM (cth:Cthe_1289);;NCBI (125714029)|EMBL (CP000568);
546;ADU73769.1 hypothetical protein Clo1313_0690 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
547;WP_003518961.1 4Fe-4S dicluster domain-containing protein [Hungateiclostridium thermocellum];234;Iron-sulfur binding protein;100.00% [234/234];;Nitrosative stress;Uniprot (A3DBE7)|Interpro (A3DBE7);KEGG (cth:Cthe_0035)|KEGG GM (cth:Cthe_0035);Interpro (IPR017896);NCBI (489614520)|EMBL (CP000568);
548;WP_003512946.1 YwmB family TATA-box binding protein [Hungateiclostridium thermocellum];250;Uncharacterized protein;100.00% [250/250];;Sporulation-related Hypotheticals;Uniprot (A3DIN5)|Interpro (A3DIN5);KEGG (cth:Cthe_2614)|KEGG GM (cth:Cthe_2614);Interpro (IPR014794)|Interpro (IPR036209)|Pfam (PF08680);NCBI (489608505)|EMBL (CP000568);
549;WP_003518538.1 EVE domain-containing protein [Hungateiclostridium thermocellum];371;EVE domain-containing protein;95.87% [371/387];;;Uniprot (A0A1M6J959)|Interpro (A0A1M6J959);;Interpro (IPR002740)|Interpro (IPR015947)|Pfam (PF01878);NCBI (1119994546)|EMBL (FQZM01000034);
550;WP_003519448.1 hypothetical protein [Hungateiclostridium thermocellum];108;Uncharacterized protein;98.18% [108/110];;;Uniprot (A0A1B1YJE4)|Interpro (A0A1B1YJE4);;;NCBI (1049309527)|EMBL (CP014673);
551;WP_003511726.1 DUF4363 family protein [Hungateiclostridium thermocellum];129;Uncharacterized protein;100.00% [129/129];;;Uniprot (A3DK90)|Interpro (A3DK90);KEGG (cth:Cthe_3174)|KEGG GM (cth:Cthe_3174);Interpro (IPR025373)|Pfam (PF14276);NCBI (489607285)|EMBL (CP000568);
552;WP_003514599.1 hypothetical protein [Hungateiclostridium thermocellum];176;Uncharacterized protein;100.00% [176/176];GO:0016021 - integral component of membrane;;Uniprot (A3DJG3)|Interpro (A3DJG3);KEGG (cth:Cthe_2894)|KEGG GM (cth:Cthe_2894);;NCBI (489610158)|EMBL (CP000568);
553;ADU75518.1 hypothetical protein Clo1313_2509 [Hungateiclostridium thermocellum DSM 1313];157;Uncharacterized protein;68.86% [157/228];;;Uniprot (A0A4Q0I0W4)|Interpro (A0A4Q0I0W4);;;EMBL (RLII01000042);
554;WP_037294635.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
555;WP_003514245.1 DUF4097 family beta strand repeat protein [Hungateiclostridium thermocellum];399;DUF4097 domain-containing protein;99.75% [399/400];;;Uniprot (A3DHA6)|Interpro (A3DHA6);KEGG (cth:Cthe_2130)|KEGG GM (cth:Cthe_2130);Interpro (IPR025164)|Pfam (PF13349);NCBI (125714843)|EMBL (CP000568);
556;WP_003520349.1 hypothetical protein [Hungateiclostridium thermocellum];288;Uncharacterized protein;100.00% [288/288];;;Uniprot (A3DCR0)|Interpro (A3DCR0);KEGG (cth:Cthe_0502)|KEGG GM (cth:Cthe_0502);;NCBI (489615909)|EMBL (CP000568);
557;WP_003512474.1 hypothetical protein [Hungateiclostridium thermocellum];147;Uncharacterized protein;100.00% [147/147];GO:0016021 - integral component of membrane;;Uniprot (A3DC53)|Interpro (A3DC53);KEGG (cth:Cthe_0293)|KEGG GM (cth:Cthe_0293);;NCBI (489608033)|EMBL (CP000568);
558;WP_003515485.1 hypothetical protein [Hungateiclostridium thermocellum];59;Uncharacterized protein;100.00% [59/59];;;Uniprot (G2JCD6)|Interpro (G2JCD6);KEGG (cth:Cthe_3407)|KEGG GM (cth:Cthe_3407);;NCBI (489611044)|EMBL (CP000568);
559;WP_003512954.1 DUF2325 domain-containing protein [Hungateiclostridium thermocellum];584;Uncharacterized protein;100.00% [584/584];;;Uniprot (A3DIN1)|Interpro (A3DIN1);KEGG (cth:Cthe_2610)|KEGG GM (cth:Cthe_2610);Interpro (IPR016772)|Pfam (PF10087);NCBI (489608513)|EMBL (CP000568);
